age,sex_id,expected_age
0,1,78.652
1,1,79.26527
2,1,79.31787
3,1,79.34283
4,1,79.35979
5,1,79.37372
6,1,79.38552
7,1,79.39527
8,1,79.40377
9,1,79.41161
10,1,79.42132
11,1,79.43447
12,1,79.45168
13,1,79.47132
14,1,79.4935
15,1,79.51735
16,1,79.54329
17,1,79.56946
18,1,79.59565
19,1,79.6222
20,1,79.64859
21,1,79.67497
22,1,79.70135
23,1,79.72761
24,1,79.7543
25,1,79.78156
26,1,79.80904
27,1,79.83732
28,1,79.86689
29,1,79.89722
30,1,79.92867
31,1,79.96127
32,1,79.99578
33,1,80.03199
34,1,80.07026
35,1,80.11102
36,1,80.15426
37,1,80.20033
38,1,80.24975
39,1,80.30221
40,1,80.35812
41,1,80.41747
42,1,80.48135
43,1,80.54881
44,1,80.62115
45,1,80.69716
46,1,80.77869
47,1,80.86517
48,1,80.95731
49,1,81.05544
50,1,81.15986
51,1,81.27103
52,1,81.38907
53,1,81.51476
54,1,81.64887
55,1,81.79153
56,1,81.94345
57,1,82.10532
58,1,82.27801
59,1,82.46129
60,1,82.65591
61,1,82.86218
62,1,83.08094
63,1,83.31219
64,1,83.55675
65,1,83.81469
66,1,84.08688
67,1,84.37384
68,1,84.67665
69,1,84.99656
70,1,85.33698
71,1,85.69411
72,1,86.06846
73,1,86.46062
74,1,86.86942
75,1,87.29427
76,1,87.73756
77,1,88.19819
78,1,88.67726
79,1,89.1735
80,1,89.689072
81,1,90.219101
82,1,90.766149
83,1,91.330132
84,1,91.910941
85,1,92.510397
86,1,93.127629
87,1,93.755187
88,1,94.403952
89,1,95.067527
90,1,95.749012
91,1,96.438885
92,1,97.134653
93,1,97.836925
94,1,98.546279
95,1,99.263265
96,1,99.988401
97,1,100.722173
98,1,101.465036
99,1,102.217416
100,1,102.979713
0,2,73.35439
1,2,74.2434
2,2,74.30229
3,2,74.33138
4,2,74.3519
5,2,74.36884
6,2,74.38429
7,2,74.39807
8,2,74.40961
9,2,74.42068
10,2,74.43583
11,2,74.45931
12,2,74.48955
13,2,74.52597
14,2,74.56791
15,2,74.6155
16,2,74.66808
17,2,74.72555
18,2,74.78708
19,2,74.85213
20,2,74.92047
21,2,74.99225
22,2,75.0663
23,2,75.14313
24,2,75.22223
25,2,75.30299
26,2,75.38556
27,2,75.46967
28,2,75.578
29,2,75.69529
30,2,75.81303
31,2,75.93115
32,2,76.04819
33,2,76.16542
34,2,76.28325
35,2,76.40213
36,2,76.52195
37,2,76.64312
38,2,76.76566
39,2,76.89002
40,2,77.01628
41,2,77.14465
42,2,77.27541
43,2,77.40842
44,2,77.54415
45,2,77.68224
46,2,77.82386
47,2,77.96897
48,2,78.11906
49,2,78.27509
50,2,78.43715
51,2,78.60622
52,2,78.78252
53,2,78.96683
54,2,79.15986
55,2,79.36148
56,2,79.57305
57,2,79.79482
58,2,80.02726
59,2,80.27091
60,2,80.52658
61,2,80.79463
62,2,81.07613
63,2,81.37076
64,2,81.67964
65,2,82.00296
66,2,82.3412
67,2,82.6949
68,2,83.06394
69,2,83.44941
70,2,83.8517
71,2,84.27061
72,2,84.70539
73,2,85.15744
74,2,85.62596
75,2,86.11095
76,2,86.61132
77,2,87.12904
78,2,87.660668
79,2,88.208842
80,2,88.7721
81,2,89.3509
82,2,89.948972
83,2,90.576003
84,2,91.214841
85,2,91.872123
86,2,92.545586
87,2,93.232043
88,2,93.9391
89,2,94.663033
90,2,95.397617
91,2,96.133579
92,2,96.870821
93,2,97.610229
94,2,98.352654
95,2,99.098908
96,2,99.849769
97,2,100.605976
98,2,101.368231
99,2,102.137203
100,2,102.913531